route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
122-158,125-C-Weekday-50,9921248-125-C-Weekday-50,"Stonestown/SF State",1221014,0,,1220498
122-158,125-C-Weekday-50,9921249-125-C-Weekday-50,"South SF BART",1221015,1,,1220499
122-158,125-C-Weekday-50,9921250-125-C-Weekday-50,"Stonestown/SF State",1221026,0,,1220498
122-158,125-C-Weekday-50,9921251-125-C-Weekday-50,"South SF BART",1221027,1,,1220499
122-158,125-C-Weekday-50,9921252-125-C-Weekday-50,"Stonestown/SF State",1221038,0,,1220498
122-158,125-C-Weekday-50,9921253-125-C-Weekday-50,"South SF BART",1221039,1,,1220499
122-158,125-C-Weekday-50,9921254-125-C-Weekday-50,"Stonestown/SF State",1221052,0,,1220498
122-158,125-C-Weekday-50,9921255-125-C-Weekday-50,"South SF BART",1221055,1,,1220499
122-158,125-C-Weekday-50,9921256-125-C-Weekday-50,"Stonestown/SF State",1221066,0,,1220498
122-158,125-C-Weekday-50,9921257-125-C-Weekday-50,"South SF BART",1221067,1,,1220499
79-158,125-C-Weekday-50-SDon,9921258-125-C-Weekday-50-SDon,"Kennedy School",791002,1,,790084
292-158,125-C-Weekday-50,9921259-125-C-Weekday-50,"San Francisco",2921084,0,,2921014
122-158,125-C-Weekday-50,9921260-125-C-Weekday-50,"Stonestown/SF State",1221008,0,,1220498
122-158,125-C-Weekday-50,9921261-125-C-Weekday-50,"South SF BART",1221011,1,,1220499
122-158,125-C-Weekday-50,9921262-125-C-Weekday-50,"Stonestown/SF State",1221022,0,,1220498
122-158,125-C-Weekday-50,9921263-125-C-Weekday-50,"South SF BART",1221023,1,,1220499
122-158,125-C-Weekday-50,9921264-125-C-Weekday-50,"Stonestown/SF State",1221034,0,,1220498
122-158,125-C-Weekday-50,9921265-125-C-Weekday-50,"South SF BART",1221035,1,,1220499
122-158,125-C-Weekday-50,9921266-125-C-Weekday-50,"Stonestown/SF State",1221046,0,,1220498
122-158,125-C-Weekday-50,9921267-125-C-Weekday-50,"South SF BART",1221051,1,,1220499
122-158,125-C-Weekday-50,9921268-125-C-Weekday-50,"Stonestown/SF State",1221062,0,,1220498
122-158,125-C-Weekday-50,9921269-125-C-Weekday-50,"South SF BART",1221063,1,,1220499
122-158,125-C-Weekday-50,9921270-125-C-Weekday-50,"Stonestown/SF State",1221074,0,,1220498
292-158,125-C-Weekday-50,9921271-125-C-Weekday-50,"San Francisco",2921064,0,,2921017
292-158,125-C-Weekday-50,9921272-125-C-Weekday-50,"Hillsdale Mall",2921065,1,,2921015
67-158,125-C-Weekday-50-SDon-1101100,9921273-125-C-Weekday-50-SDon-1101100,"Bridge/Bowsprit",671016,0,,670091
55-158,125-C-Weekday-50-SDon-0010000,9921274-125-C-Weekday-50-SDon-0010000,"Clark/El Camino",551002,0,,550035
KX-158,125-C-Weekday-50,9921275-125-C-Weekday-50,"Redwood City Transit Center",2041003,1,,KX0141
296-158,125-C-Weekday-50,9921276-125-C-Weekday-50,"Redwood City Transit Center",2961091,1,,2960240
46-158,125-C-Weekday-50-SDon-1011100,9921277-125-C-Weekday-50-SDon-1011100,"Carolan",461009,1,,460067
292-158,125-C-Weekday-50,9921278-125-C-Weekday-50,"Hillsdale Mall",2921069,1,,2921016
292-158,125-C-Weekday-50,9921279-125-C-Weekday-50,"San Francisco",2921008,0,,2921014
29-158,125-C-Weekday-50-SDon-1101100,9921280-125-C-Weekday-50-SDon-1101100,"Templeton/Brunswick",291003,1,,290024
292-158,125-C-Weekday-50,9921281-125-C-Weekday-50,"Hillsdale Mall",2921021,1,,2921015
122-158,125-C-Weekday-50,9921282-125-C-Weekday-50,"Stonestown/SF State",1221004,0,,1220498
122-158,125-C-Weekday-50,9921283-125-C-Weekday-50,"South SF BART",1221007,1,,1220499
